window_start,window_end,kind,horizon,as_of,symbol,anchor_close,venue_quote,fair_value,reopen,quote_move_bps,fair_move_bps,realised_bps,err_lighthouse_bps,err_venue_bps,err_lastclose_bps,lam_common,lam_idio,n_train
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RAAPLUSDT,264.37,264.55,264.721,265.1,6.81,13.28,27.61,14.34,20.8,27.61,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RAMDUSDT,198.3599,199.06,199.3048,200.5,35.29,47.64,107.89,60.25,72.6,107.89,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RAMZNUSDT,201.0,201.38,201.5588,202.05,18.91,27.8,52.24,24.44,33.33,52.24,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RAVGOUSDT,328.9,329.99,330.1986,332.0,33.14,39.48,94.25,54.77,61.11,94.25,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RBABAUSDT,155.45,155.71,155.6692,156.06,16.73,14.1,39.24,25.14,22.52,39.24,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RCDEUSDT,21.8292,22.0,22.0589,22.3,78.24,105.24,215.67,110.44,137.43,215.67,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RCRMUSDT,184.1,184.99,184.9267,184.8,48.34,44.9,38.02,6.88,10.32,38.02,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RCRWVUSDT,90.51,91.47,91.3644,92.2,106.07,94.39,186.72,92.33,80.65,186.72,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,REWZUSDT,37.87,38.19,38.0899,38.38,84.5,58.05,134.67,76.62,50.17,134.67,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RGOOGLUSDT,300.5,301.56,301.6728,303.0,35.27,39.03,83.19,44.17,47.92,83.19,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RGSUSDT,915.7,912.02,915.9819,920.0,-40.19,3.08,46.96,43.88,87.15,46.96,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RHLUSDT,21.679,21.91,21.9409,22.3,106.55,120.81,286.45,165.64,179.9,286.45,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RHOODUSDT,74.92,75.42,75.4663,75.69,66.74,72.92,102.78,29.85,36.04,102.78,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RINTCUSDT,46.1,46.55,46.4796,46.6,97.61,82.34,108.46,26.12,10.85,108.46,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RIVVUSDT,684.96,686.04,686.3742,688.88,15.77,20.65,57.23,36.58,41.46,57.23,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RJPMUSDT,307.11,308.5,308.2591,309.2,45.26,37.42,68.05,30.64,22.79,68.05,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RLITEUSDT,604.5,611.24,608.8856,610.82,111.5,72.55,104.55,32.0,6.95,104.55,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RMETAUSDT,643.5,644.39,644.9248,646.0,13.83,22.14,38.85,16.71,25.02,38.85,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RMRVLUSDT,78.9,79.27,79.2751,79.5,46.89,47.54,76.05,28.51,29.15,76.05,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RMSFTUSDT,396.2,397.83,397.6034,399.7,41.14,35.42,88.34,52.92,47.2,88.34,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RNBISUSDT,96.98,97.51,97.5692,98.23,54.65,60.76,128.89,68.14,74.24,128.89,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RNOWUSDT,105.77,106.38,106.2658,106.74,57.67,46.88,91.71,44.83,34.04,91.71,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RNVDAUSDT,186.43,187.24,187.1968,187.61,43.45,41.13,63.29,22.17,19.85,63.29,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,ROKLOUSDT,67.35,68.11,68.0148,68.65,112.84,98.71,193.02,94.31,80.18,193.02,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RORCLUSDT,153.4499,154.35,154.3111,155.03,58.66,56.12,102.97,46.85,44.31,102.97,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RPATHUSDT,10.88,10.92,10.9218,11.0,36.76,38.43,110.29,71.86,73.53,110.29,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RPLTRUSDT,132.75,133.3,133.3843,133.79,41.43,47.78,78.34,30.56,36.91,78.34,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RQQQUSDT,600.0899,601.73,601.8956,604.15,27.33,30.09,67.66,37.57,40.33,67.66,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RSMCIUSDT,30.21,30.37,30.3843,30.51,52.96,57.68,99.3,41.62,46.34,99.3,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RSNDKUSDT,578.8,586.44,584.08,597.5,132.0,91.22,323.08,231.86,191.09,323.08,1.0,0.55,25
